experiment,λ,c,time,queue,busy
4,0.3,2,31223.817666496,0,0
4,0.3,2,31290.392970688958,0,0
4,0.3,2,31356.96827488191,0,1
4,0.3,2,31423.543579074867,0,0
4,0.3,2,31490.118883267824,0,2
4,0.3,2,31556.694187460776,0,2
4,0.3,2,31623.269491653733,0,1
4,0.3,2,31689.84479584669,0,0
4,0.3,2,31756.420100039642,0,0
4,0.3,2,31822.9954042326,0,2
4,0.3,2,31889.570708425555,0,0
4,0.3,2,31956.14601261851,0,0
4,0.3,2,32022.721316811465,0,0
4,0.3,2,32089.296621004418,1,2
4,0.3,2,32155.871925197374,0,1
4,0.3,2,32222.44722939033,0,0
4,0.3,2,32289.022533583284,0,0
4,0.3,2,32355.59783777624,0,0
4,0.3,2,32422.173141969197,0,2
4,0.3,2,32488.74844616215,0,0
4,0.3,2,32555.323750355106,0,1
4,0.3,2,32621.899054548063,0,0
4,0.3,2,32688.474358741016,0,0
4,0.3,2,32755.049662933972,0,0
4,0.3,2,32821.624967126925,0,0
4,0.3,2,32888.20027131988,0,2
4,0.3,2,32954.77557551284,0,1
4,0.3,2,33021.350879705795,0,0
4,0.3,2,33087.92618389875,0,0
4,0.3,2,33154.5014880917,0,1
4,0.3,2,33221.07679228466,0,0
4,0.3,2,33287.652096477614,0,0
4,0.3,2,33354.22740067057,0,0
4,0.3,2,33420.80270486353,0,0
4,0.3,2,33487.378009056476,0,2
4,0.3,2,33553.95331324943,0,0
4,0.3,2,33620.52861744239,0,2
4,0.3,2,33687.103921635346,0,0
4,0.3,2,33753.6792258283,0,0
4,0.3,2,33820.25453002126,0,0
4,0.3,2,33886.82983421421,0,0
4,0.3,2,33953.405138407164,0,0
4,0.3,2,34019.98044260012,0,1
4,0.3,2,34086.55574679308,0,2
4,0.3,2,34153.131050986034,0,0
4,0.3,2,34219.70635517898,0,0
4,0.3,2,34286.28165937194,0,1
4,0.3,2,34352.8569635649,0,0
4,0.3,2,34419.43226775785,0,1
4,0.3,2,34486.00757195081,0,0
4,0.3,2,34552.582876143766,0,0
4,0.3,2,34619.158180336715,0,0
4,0.3,2,34685.73348452967,3,2
4,0.3,2,34752.30878872263,0,0
4,0.3,2,34818.884092915585,0,0
4,0.3,2,34885.45939710854,0,0
4,0.3,2,34952.0347013015,0,0
4,0.3,2,35018.61000549445,0,2
4,0.3,2,35085.185309687404,0,0
4,0.3,2,35151.76061388036,0,0
4,0.3,2,35218.33591807332,0,1
4,0.3,2,35284.91122226627,0,1
4,0.3,2,35351.48652645922,0,0
4,0.3,2,35418.06183065218,0,0
4,0.3,2,35484.637134845136,0,2
4,0.3,2,35551.21243903809,0,0
4,0.3,2,35617.78774323105,0,0
4,0.3,2,35684.363047424005,1,2
4,0.3,2,35750.938351616955,0,0
4,0.3,2,35817.51365580991,3,2
4,0.3,2,35884.08896000287,0,0
4,0.3,2,35950.664264195824,0,1
4,0.3,2,36017.23956838878,0,1
4,0.3,2,36083.81487258173,0,0
4,0.3,2,36150.39017677469,0,1
4,0.3,2,36216.96548096764,0,0
4,0.3,2,36283.5407851606,0,1
4,0.3,2,36350.116089353556,0,0
4,0.3,2,36416.69139354651,0,2
4,0.3,2,36483.26669773946,1,2
4,0.3,2,36549.84200193242,0,0
4,0.3,2,36616.417306125375,0,1
4,0.3,2,36682.99261031833,0,0
4,0.3,2,36749.56791451129,0,0
4,0.3,2,36816.14321870424,0,2
4,0.3,2,36882.718522897194,0,1
4,0.3,2,36949.29382709015,0,2
4,0.3,2,37015.86913128311,1,2
4,0.3,2,37082.44443547606,0,2
4,0.3,2,37149.01973966902,0,0
4,0.3,2,37215.59504386197,0,1
4,0.3,2,37282.170348054926,0,0
4,0.3,2,37348.74565224788,0,0
4,0.3,2,37415.32095644084,0,0
4,0.3,2,37481.896260633795,0,1
4,0.3,2,37548.471564826745,0,0
4,0.3,2,37615.0468690197,0,1
4,0.3,2,37681.62217321266,0,2
4,0.3,2,37748.197477405614,0,0
4,0.3,2,37814.77278159857,0,0
4,0.3,2,37881.34808579153,0,0
4,0.3,2,37947.92338998448,0,0
4,0.3,2,38014.49869417743,3,2
4,0.3,2,38081.07399837039,0,0
4,0.3,2,38147.649302563346,0,1
4,0.3,2,38214.2246067563,0,0
4,0.3,2,38280.79991094925,0,2
4,0.3,2,38347.37521514221,0,0
4,0.3,2,38413.950519335165,0,0
4,0.3,2,38480.52582352812,0,1
4,0.3,2,38547.10112772108,0,1
4,0.3,2,38613.676431914035,0,1
4,0.3,2,38680.251736106984,0,1
4,0.3,2,38746.82704029994,0,0
4,0.3,2,38813.4023444929,0,0
4,0.3,2,38879.97764868585,0,1
4,0.3,2,38946.55295287881,0,0
4,0.3,2,39013.12825707177,0,1
4,0.3,2,39079.703561264716,0,1
4,0.3,2,39146.27886545767,0,0
4,0.3,2,39212.85416965063,0,1
4,0.3,2,39279.429473843586,0,0
4,0.3,2,39346.00477803654,0,0
4,0.3,2,39412.58008222949,0,0
4,0.3,2,39479.15538642245,0,1
4,0.3,2,39545.730690615404,0,0
4,0.3,2,39612.30599480836,0,1
4,0.3,2,39678.88129900132,0,1
4,0.3,2,39745.456603194274,0,0
4,0.3,2,39812.03190738722,0,1
4,0.3,2,39878.60721158018,0,0
4,0.3,2,39945.18251577314,0,1
4,0.3,2,40011.75781996609,0,1
4,0.3,2,40078.33312415905,0,0
